ID,QUESTION_ID,CONTEXT,IS_CORRECT,LINK
1,1,Stopping is discretionary except when ordered by a traffic policeman.,FALSE,
2,1,Vehicles can give way and go without stopping.,FALSE,
3,1,Vehicles need to stop entirely at the marked stop line.,TRUE,
4,1,Only heavy vehicles are obligated to stop.,FALSE,
5,2,Vehicles need to slow down but go without stopping.,FALSE,
6,2,Vehicles must yield the right of way to traffic on the intersection or roadway.,TRUE,
7,2,All vehicles must come to a complete stop.,FALSE,
8,2,Pedestrians must give way to vehicles .,FALSE,
9,3,Only trucks are required to yield when making a left turn.,FALSE,
10,3,Vehicles making a left turn have the right of way at the intersection.,FALSE,
11,3,Left turns are not permitted at this intersection.,FALSE,
12,3,Vehicles making a left turn should make way for oncoming traffic.,TRUE,
13,4,Only U-turns.,FALSE,
14,4,Vehicles may turn if the way is clear.,FALSE,
15,4,Any type of turns left or right is not allowed at the crossing.,TRUE,
16,4,No vehicle is authorized to enter.,FALSE,
17,5,Traffic shall only flow in one direction on the road up ahead.,TRUE,
18,5,Vehicular flow may be in either direction.,FALSE,
19,5,Pedestrians should go on the opposite side of the road.,FALSE,
20,5,Only bicycles are permitted on this road.,FALSE,
21,6,The right lane is shut down.,FALSE,
22,6,Vehicular traffic may use either side of the road.,FALSE,
23,6,Right turns are the only permitted turns.,FALSE,
24,6,Vehicular traffic must remain on the right side of the road.,TRUE,
25,7,Turns are only made to the left.,FALSE,
26,7,Vehicles are allowed to take either side of the road.,FALSE,
27,7,Vehicles should travel on the left side of the road.,TRUE,
28,7,The left lane is closed.,FALSE,
29,8,Vehicles from another road will merge with the main traffic up ahead.,TRUE,
30,8,Vehicles need to leave the highway.,FALSE,
31,8,The road up ahead splits into two lanes.,FALSE,
32,8,"Beyond this point, one lane only is in service.",FALSE,
33,9,No pedestrian beyond this sign,FALSE,
34,9,Only select type of vehicles are not permitted in.,FALSE,
35,9,Proceed with caution for vehicles.,FALSE,
36,9, No vehicle can enter this designated area.,TRUE,
37,10,Tricycles are allowed to cross provided the way is clear.,FALSE,
38,10,Only bicycles are restricted to cross.,FALSE,
39,10,Tricycles are not permitted to cross the marked road section.,TRUE,
40,10,Tricycles should wait and allow larger vehicles to pass.,FALSE,
41,11,Vehicles must stop before the overpass.,FALSE,
42,11,Vehicles are allowed to use the overpass.,FALSE,
43,11,Only bicycles can use the overpass.,FALSE,
44,11,Pedestrians must use the overpass to cross the road.,TRUE,
45,12,Only emergency vehicles can turn right.,FALSE,
46,12,Vehicles can only turn right.,FALSE,
47,12,Right turns are not allowed here.,TRUE,
48,12,Right turns are permitted only during certain hours.,FALSE,
49,13,Left turns are not allowed here.,TRUE,
50,13,Vehicles can only turn left.,FALSE,
51,13,Only bicycles can turn left.,FALSE,
52,13,Left turns are permitted only outside peak hours.,FALSE,
53,14,Only the bicycles are permitted to make a U-turn.,FALSE,
54,14,U-turn is permitted but only for large vehicles.,FALSE,
55,14,U-turns are mandatory here for the vehicle.,FALSE,
56,14,No U-turn allowed here.,TRUE,
57,15,Only vehicles of emergency character may pass.,FALSE,
58,15,Only motorcyclists may pass.,FALSE,
59,15,No overtaking shall be allowed in the marked zone.,TRUE,
60,15,Any vehicle may pass when the roadway is clear.,FALSE,
61,16,Motorists must not exceed the shown speed.,TRUE,
62,16,Motorists must not fall below the minimum speed.,FALSE,
63,16,Emergency vehicles are exempted from the application of speed.,FALSE,
64,16,Speed limit applies only during specific time of day.,FALSE,
65,17,Vehicles are allowed only to unload.,FALSE,
66,17,Cars can be temporarily stopped in order to both load and unload.,TRUE,
67,17,Vehicles are not allowed in this place.,FALSE,
68,17,There is no waiting anytime.,FALSE,
69,18,Loading and unloading are permitted only during specific hours.,FALSE,
70,18,Only buses are allowed to load and unload in this area.,FALSE,
71,18,Vehicles are not allowed to load or unload passengers or goods at any time.,TRUE,
72,18,Pedestrians must avoid the area during loading operations.,FALSE,
73,19,Only buses are allowed to load and unload passengers.,FALSE,
74,19,"Loading is allowed, but unloading is prohibited.",FALSE,
75,19,Vehicles can load or unload only during peak hours.,FALSE,
76,19,Loading and unloading are prohibited in the area.,TRUE,
77,20,Vehicles can park only for a short period.,FALSE,
78,20,Parking is permitted only for emergency vehicles.,FALSE,
79,20,Pedestrians can cross freely in this area.,FALSE,
80,20,Parking is not allowed in this area.,TRUE,
81,21,No car can be left to park any time in that place.,TRUE,
82,21,Only commerce cars are to be parked within that area,FALSE,
83,21,Just to park over there for little while,FALSE,
84,21,Only bikes and autos can keep in that designated place.,FALSE,
85,22,All the vehicle which are parked can be tow away from that road.,TRUE,
86,22,The parking is permissible for a brief period.,FALSE,
87,22,Only lorries are allowed to park here.,FALSE,
88,22,Emergency vehicles are exempted,FALSE,
89,23,Parking is allowed only in summer.,FALSE,
90,23,Parking is prohibited during weekdays.,TRUE,
91,23,Parking is restricted only during specific hours.,FALSE,
92,23,Parking is permitted on holidays.,FALSE,
93,24,Rear seat passengers are optional to wear seat belts.,FALSE,
94,24,Trucks only are covered under this rule.,FALSE,
95,24,All drivers and passengers must wear seat belts.,TRUE,
96,24,This rule does not apply to motorcycles.,FALSE,
97,25,Emergency vehicles alone are allowed to use their horns.,FALSE,
98,25,Using of horns is allowed only in certain hours.,FALSE,
99,25,Blowing of horns is not allowed in the area.,TRUE,
100,25,Pedestrians should get out of the way when honking.,FALSE,
101,26,Vehicles have to look for pedestrians crossing over.,TRUE,
102,26,Pedestrians are not to cross here,FALSE,
103,26,Only bicycles are supposed to cross on the road.,FALSE,
104,26,A vehicle can cross over without braking.,FALSE,
105,27,Only bicycles are permitted to cross when school is in session.,FALSE,
106,27,No pedestrian is allowed here.,FALSE,
107,27,School zones are restricted only to emergency vehicles.,FALSE,
108,27,Vehicles need to slow down and be cautious for school children crossing the street.,TRUE,
109,28,Vehicles should only consist of motorcycles and move through this lane.,FALSE,
110,28,A designated lane for bicycles is ahead.,TRUE,
111,28,No bicycles are permitted in the locality.,FALSE,
112,28,Vehicles should yield to pedestrians.,FALSE,
113,29,Cross the road: Pedestrian prohibited.,FALSE,
114,29,Cross only by bicycle.,FALSE,
115,29,Vehicles have to slow down and look for persons with disability crossing the street.,TRUE,
116,29,Cars can pass-through without slowing.,FALSE,
117,30,Vehicles should take right turn ahead.,FALSE,
118,30,Lane on right side is under construction.,FALSE,
119,30,Pedestrians must look while crossing the road.,FALSE,
120,30,Road ahead sharply curves to right.,TRUE,
121,31,The road ahead has a gradual curve to the right.,TRUE,
122,31,Vehicles must stop before turning right.,FALSE,
123,31,The right lane is closed.,FALSE,
124,31,Pedestrians must yield to vehicles.,FALSE,
125,32,Only bicycles are permitted to go.,FALSE,
126,32,The road ahead has a gradual curve to the left.,TRUE,
127,32,Vehicles must stop before turning left.,FALSE,
128,32,The left lane is closed.,FALSE,
129,33,Proceed through without braking.,FALSE,
130,33,"The road ahead has two gentle curves, beginning with a right curve.",TRUE,
131,33,"Turn sharply right, in reverse, immediately.",FALSE,
132,33,The lane to the right is closed for construction.,FALSE,
133,34,Vehicles need to stop immediately.,FALSE,
134,34,Road ahead becomes one lane.,FALSE,
135,34,Road ends completely.,FALSE,
136,34,Road ahead meets another road.,TRUE,
137,35,Only trucks are allowed to enter the roundabout.,FALSE,
138,35,"A roundabout is approaching, and vehicles must follow its circular flow.",TRUE,
139,35,Vehicles must stop before entering the roundabout.,FALSE,
140,35,The road ends at the roundabout.,FALSE,
141,36,Only bicycles need to stop at the traffic lights.,FALSE,
142,36,A set of traffic lights is ahead.,TRUE,
143,36,Vehicles should stop right now at this point.,FALSE,
144,36,Pedestrians are not allowed to cross beyond this sign.,FALSE,
145,37,Pedestrians are not permitted to cross in this area.,FALSE,
146,37,The road is closed to all vehicles.,FALSE,
147,37,Only bicycles are permitted beyond this point.,FALSE,
148,37,Vehicles must slow down and be prepared to stop for pedestrians crossing ahead.,TRUE,
149,38,Pedestrians are not allowed to cross at this point.,FALSE,
150,38,Vehicles should turn left or right in order to avoid the crossing.,FALSE,
151,38,Only emergency vehicles can proceed.,FALSE,
152,38,Vehicles should slow down and prepare to stop for pedestrians crossing ahead.,TRUE,
153,39,The road ahead is for children only.,FALSE,
